Index	Baxter	polyhedron
1	tuwng	tung
2	duwng	dung
3	trjuwng	triung
4	drjuwng	driung
5	tsyuwng	cjung
6	trhjuwng	thriung
7	dzrjuwng	zriung
8	sjuwng	siung
9	nyuwng	njung
10	kjuwng	kiung
11	yuwng	jung
12	hjuwng	iung
13	mjuwng	miung
14	khjuwng	khiung
15	gjuwng	giung
16	bjuwng	biung
17	pjuwng	piung
18	phjuwng	phiung
19	tsyhuwng	chjung
20	ljuwng	liung
21	khuwng	khung
22	kuwng	kung
23	muwng	mung
24	luwng	lung
25	huwng	ghung
26	dzuwng	zung
27	'uwng	qung
28	tshuwng	chung
29	thuwng	thung
30	tsuwng	cung
31	buwng	bung
32	xuwng	hung
33	nguwng	ngung
34	suwng	sung
35	towng	tuung
36	downg	duung
37	dzowng	zuung
38	nowng	nuung
39	kowng	kuung
40	howng	ghuung
41	lowng	luung
42	tsowng	cuung
43	sowng	suung
44	thowng	thuung
45	tsyowng	cjyung
46	ljowng	lyung
47	syowng	sjyung
48	zjowng	zsyung
49	tsyhowng	chjyung
50	yowng	jyung
51	pjowng	pyung
52	xjowng	hyung
53	ngjowng	ngyung
54	'jowng	qyung
55	nrjowng	nryung
56	drjowng	dryung
57	dzjowng	zyung
58	trhjowng	thryung
59	bjowng	byung
60	phjowng	phyung
61	tsjowng	cyung
62	nyowng	njyung
63	gjowng	gyung
64	dzyowng	zjyung
65	kjowng	kyung
66	sjowng	syung
67	tshjowng	chyung
68	khjowng	khyung
69	kaewng	krung
70	maewng	mrung
71	nraewng	nrung
72	tsrhaewng	chrung
73	paewng	prung
74	haewng	ghrung
75	phaewng	phrung
76	laewng	lrung
77	sraewng	srung
78	baewng	brung
79	xaewng	hrung
80	'aewng	qrung
81	khaewng	khrung
82	draewng	drung
83	trhaewng	thrung
84	traewng	trung
85	ngaewng	ngrung
86	dzraewng	zrung
87	tsye	cje
88	ye	je
89	hjwe	ye
90	kjwe	kye
91	xjwe	hye
92	'jwe	qye
93	mje	mie
94	xjwie	hjye
95	drjwe	drye
96	dzywe	zjye
97	ljwe	lye
98	tsyhwe	chjye
99	phje	phie
100	pje	pie
101	zjwe	zsye
102	khjwe	khye
103	khjwie	khjye
104	gje	gie
105	gjie	gje
106	xje	hie
107	khje	khie
108	ngje	ngie
109	bje	bie
110	dzye	zje
111	nye	nje
112	lje	lie
113	dzje	zie
114	tsje	cie
115	kje	kie
116	pjie	pje
117	bjie	bje
118	sye	sje
119	sje	sie
120	tsrhje	chrie
121	trhje	thrie
122	mjie	mje
123	tshje	chie
124	trje	trie
125	'je	qie
126	drje	drie
127	sjwe	sye
128	ngjwe	ngye
129	xjie	hje
130	srje	srie
131	srjwe	srye
132	nywe	njye
133	tsje	cie
134	kjwie	kjye
135	tsjwe	cye
136	tsrhjwe	chrye
137	trjwe	trye
138	tsjwe	cye
139	tsyhe	chje
140	tsrje	crie
141	phjie	phje
142	ywe	jye
143	dzrje	zrie
144	tsyij	cjii
145	yij	jii
146	srij	srii
147	bjij	bjii
148	tsij	cii
149	kjij	kjii
150	tsyhij	chjii
151	trhij	thrii
152	tshij	chii
153	dzij	zii
154	nrij	nrii
155	drij	drii
156	sij	sii
157	syij	sjii
158	gij	gii
159	'jij	qjii
160	lij	lii
161	gjwij	gjyi
162	trwij	tryi
163	kwij	kyi
164	nywij	njyi
165	srwij	sryi
166	ywij	jyi
167	lwij	lyi
168	swij	syi
169	gwij	gyi
170	mij	mii
171	pij	pii
172	tsywij	cjyi
173	dzywij	zjyi
174	hwij	yi
175	bij	bii
176	phij	phii
177	xjwij	hjyi
178	drwij	dryi
179	tsyhwij	chjyi
180	trij	trii
181	phjij	phjii
182	tswij	cyi
183	khwij	khyi
184	ngjij	ngjii
185	xjij	hjii
186	tsyi	cji
187	yi	ji
188	dzyi	zji
189	ngi	ngi
190	si	si
191	tsrhi	chri
192	gi	gi
193	syi	sji
194	nyi	nji
195	khi	khi
196	ki	ki
197	zi	zsi
198	li	li
199	tsri	cri
200	xi	hi
201	'i	qi
202	trhi	thri
203	dri	dri
204	tsyhi	chji
205	dzi	zi
206	tsi	ci
207	dzri	zri
208	zri	zsri
209	khi	khi
210	syi	sji
211	mj+j	myoi
212	xjw+j	hyoi
213	hjw+j	yoi
214	phj+j	phyoi
215	pj+j	pyoi
216	bj+j	byoi
217	'jw+j	qyoi
218	gj+j	gioi
219	kj+j	kioi
220	xj+j	hioi
221	'j+j	qioi
222	ngj+j	ngioi
223	ngjw+j	ngyoi
224	kjw+j	kyoi
225	khjw+j	khyoi
226	ngjo	ngio
227	tsrhjo	chrio
228	syo	sjo
229	kjo	kio
230	gjo	gio
231	yo	jo
232	sjo	sio
233	tshjo	chio
234	dzrjo	zrio
235	trhjo	thrio
236	srjo	srio
237	xjo	hio
238	zjo	zsio
239	'jo	qio
240	trjo	trio
241	ljo	lio
242	tsyo	cjo
243	drjo	drio
244	nyo	njo
245	tsjo	cio
246	khjo	khio
247	tsrjo	crio
248	dzyo	zjo
249	nrjo	nrio
250	ngju	ngyo
251	tsrhju	chryo
252	mju	myo
253	hju	yo
254	xju	hyo
255	gju	gyo
256	nyu	njyo
257	sju	syo
258	trju	tryo
259	trhju	thryo
260	dzyu	zjyo
261	yu	jyo
262	khju	khyo
263	tsyu	cjyo
264	tshju	chyo
265	lju	lyo
266	bju	byo
267	dzrju	zryo
268	tsrju	cryo
269	phju	phyo
270	tsju	cyo
271	pju	pyo
272	'ju	qyo
273	syu	sjyo
274	tsyhu	chjyo
275	drju	dryo
276	kju	kyo
277	srju	sryo
278	mu	mo
279	bu	bo
280	hu	gho
281	ku	ko
282	du	do
283	nu	no
284	xu	ho
285	ngu	ngo
286	tsu	co
287	lu	lo
288	su	so
289	dzu	zo
290	'u	qo
291	pu	po
292	khu	kho
293	tshu	cho
294	thu	tho
295	tu	to
296	phu	pho
297	dzej	ze
298	lej	le
299	tshej	che
300	tej	te
301	dej	de
302	pej	pe
303	kej	ke
304	hej	ghe
305	'ej	qe
306	ngej	nge
307	xej	he
308	sej	se
309	thej	the
310	bej	be
311	phej	phe
312	tsej	ce
313	mej	me
314	nej	ne
315	khej	khe
316	kwej	kue
317	khwej	khue
318	hwej	ghue
319	nyej	nje
320	dzyej	zje
321	'wej	que
322	xwej	hue
323	kea	kre
324	hea	ghre
325	bea	bre
326	kwea	krue
327	'wea	qrue
328	khwea	khrue
329	dzrea	zre
330	tsrhea	chre
331	xwea	hrue
332	nrea	nre
333	ngea	ngre
334	'ea	qre
335	srea	sre
336	xea	hre
337	trhea	thre
338	mea	mre
339	hwea	ghrue
340	keaj	krai
341	'eaj	qrai
342	heaj	ghrai
343	beaj	brai
344	kweaj	kruai
345	hweaj	ghruai
346	khweaj	khruai
347	dzreaj	zrai
348	tsrheaj	chrai
349	xweaj	hruai
350	drweaj	druai
351	meaj	mrai
352	tsreaj	crai
353	'weaj	qruai
354	treaj	trai
355	leaj	lrai
356	kheaj	khrai
357	nreaj	nrai
358	sreaj	srai
359	ngeaj	ngrai
360	trheaj	thrai
361	xeaj	hrai
362	lweaj	lruai
363	dzrweaj	zruai
364	xwoj	huai
365	khwoj	khuai
366	'woj	quai
367	hwoj	ghuai
368	mwoj	muai
369	kwoj	kuai
370	lwoj	luai
371	dwoj	duai
372	tshwoj	chuai
373	twoj	tuai
374	swoj	suai
375	dzwoj	zuai
376	bwoj	buai
377	pwoj	puai
378	phwoj	phuai
379	ngwoj	nguai
380	thwoj	thuai
381	nwoj	nuai
382	tswoj	cuai
383	xoj	hai
384	khoj	khai
385	'oj	qai
386	doj	dai
387	koj	kai
388	dzoj	zai
389	loj	lai
390	tsoj	cai
391	tshoj	chai
392	boj	bai
393	thoj	thai
394	hoj	ghai
395	soj	sai
396	ngoj	ngai
397	noj	nai
398	toj	tai
399	tsyhoj	chjai
400	phoj	phai
401	tsyin	cjin
402	trhin	thrin
403	'jin	qjin
404	sin	sin
405	dzyin	zjin
406	nyin	njin
407	zyin	zsjin
408	tshin	chin
409	hin	in
410	syin	sjin
411	pjin	pjin
412	lin	lin
413	gin	gin
414	trin	trin
415	drin	drin
416	tsin	cin
417	tsyhin	chjin
418	dzin	zin
419	yin	jin
420	nrin	nrin
421	phjin	phjin
422	bjin	bjin
423	ngin	ngin
424	kin	kin
425	kwin	kyn
426	hwin	yn
427	khwin	khyn
428	min	min
429	bin	bin
430	'in	qin
431	'win	qyn
432	pin	pin
433	mjin	mjin
434	tsywin	cjyn
435	trhwin	thryn
436	drwin	dryn
437	swin	syn
438	dzywin	zjyn
439	nywin	njyn
440	zywin	zsjyn
441	lwin	lyn
442	trwin	tryn
443	tshwin	chyn
444	tswin	cyn
445	tsyhwin	chjyn
446	dzwin	zyn
447	ywin	jyn
448	zwin	zsyn
449	kjwin	kjyn
450	gjin	gjin
451	phin	phin
452	tsrin	crin
453	srin	srin
454	dzrin	zrin
455	mjun	myon
456	hjun	yon
457	'jun	qyon
458	bjun	byon
459	pjun	pyon
460	gjun	gyon
461	xjun	hyon
462	kjun	kyon
463	phjun	phyon
464	xj+n	hion
465	'j+n	qion
466	gj+n	gion
467	kj+n	kion
468	ngj+n	ngion
469	ngjwon	ngyan
470	hjwon	yan
471	bjon	byan
472	phjon	phyan
473	xjwon	hyan
474	'jwon	qyan
475	ngjon	ngian
476	khjon	khian
477	xjon	hian
478	kjon	kian
479	'jon	qian
480	pjon	pyan
481	gjon	gian
482	mjon	myan
483	hwon	ghuon
484	kwon	kuon
485	'won	quon
486	mwon	muon
487	swon	suon
488	tswon	cuon
489	dzwon	zuon
490	twon	tuon
491	thwon	thuon
492	dwon	duon
493	tshwon	chuon
494	ngwon	nguon
495	bwon	buon
496	pwon	puon
497	lwon	luon
498	khwon	khuon
499	xwon	huon
500	phwon	phuon
501	nwon	nuon
502	hon	ghon
503	kon	kon
504	'on	qon
505	thon	thon
506	ngon	ngon
507	han	ghan
508	ngan	ngan
509	tan	tan
510	'an	qan
511	nan	nan
512	tshan	chan
513	than	than
514	san	san
515	dan	dan
516	dzan	zan
517	kan	kan
518	lan	lan
519	khan	khan
520	xan	han
521	nwan	nuan
522	hwan	ghuan
523	ngwan	nguan
524	twan	tuan
525	'wan	quan
526	thwan	thuan
527	swan	suan
528	dwan	duan
529	dzwan	zuan
530	kwan	kuan
531	lwan	luan
532	xwan	huan
533	khwan	khuan
534	tswan	cuan
535	ban	buan
536	man	muan
537	phan	phuan
538	pan	puan
539	sraen	sran
540	kwaen	kruan
541	'waen	qruan
542	srwaen	sruan
543	hwaen	ghruan
544	paen	pran
545	maen	mran
546	ngaen	ngran
547	kaen	kran
548	phaen	phran
549	nrwaen	nruan
550	ngwaen	ngruan
551	khaen	khran
552	khaen	khran
553	tsrwaen	cruan
554	srean	sren
555	kwean	kruen
556	kean	kren
557	hean	ghren
558	khean	khren
559	dzrean	zren
560	xean	hren
561	ngean	ngren
562	'ean	qren
563	pean	pren
564	lean	lren
565	nrean	nren
566	tsyhean	chjren
567	'wean	qruen
568	dwean	druen
569	lwean	lruen
570	gwean	gruen
571	trean	tren
572	drean	dren
573	hwean	ghruen
574	dzean	zren
575	sen	sen
576	dzen	zen
577	tshen	chen
578	tsen	cen
579	then	then
580	ken	ken
581	hen	ghen
582	'en	qen
583	len	len
584	den	den
585	nen	nen
586	ten	ten
587	khen	khen
588	ngen	ngen
589	men	men
590	ben	ben
591	'wen	quen
592	kwen	kuen
593	xwen	huen
594	pen	pen
595	hwen	ghuen
596	xen	hen
597	dzrwen	zruen
598	sjen	sien
599	dzjen	zien
600	tshjen	chien
601	tsjen	cien
602	nyen	njen
603	yen	jen
604	tsyen	cjen
605	kjien	kjen
606	trjen	trien
607	dzrjen	zrien
608	syen	sjen
609	trhjen	thrien
610	dzyen	zjen
611	drjen	drien
612	xjien	hjen
613	ljen	lien
614	phjien	phjen
615	bjien	bjen
616	mjien	mjen
617	dzjwen	zyen
618	sjwen	syen
619	tsjwen	cyen
620	xjwien	hjyen
621	nywen	njyen
622	tsyhwen	chjyen
623	ywen	jyen
624	zjwen	zsyen
625	'jwien	qjyen
626	zywen	zsjyen
627	pjien	pjen
628	zjen	zsien
629	tshjwen	chyen
630	tsywen	cjyen
631	dzywen	zjyen
632	hjwen	yen
633	tsrjwen	cryen
634	srjwen	sryen
635	trhjwen	thryen
636	gjen	gien
637	khjen	khien
638	gjwen	gyen
639	drjwen	dryen
640	ljwen	lyen
641	khjwen	khyen
642	'jen	qien
643	hjen	ien
644	'jwen	qyen
645	tsyhen	chjen
646	trjwen	tryen
647	kjwen	kyen
648	sew	seu
649	thew	theu
650	tew	teu
651	dew	deu
652	kew	keu
653	lew	leu
654	ngew	ngeu
655	xew	heu
656	'ew	qeu
657	khew	kheu
658	sjew	sieu
659	trhjew	thrieu
660	trjew	trieu
661	drjew	drieu
662	xjew	hieu
663	dzjew	zieu
664	kjew	kieu
665	tsjew	cieu
666	nyew	njeu
667	syew	sjeu
668	yew	jeu
669	dzyew	zjeu
670	tsyew	cjeu
671	pjiew	pjeu
672	pjew	pieu
673	bjiew	bjeu
674	mjiew	mjeu
675	mjew	mieu
676	'jiew	qjeu
677	hjew	ieu
678	gjew	gieu
679	tshjew	chieu
680	'jew	qieu
681	khjiew	khjeu
682	tsyhew	chjeu
683	phjiew	phjeu
684	gjiew	gjeu
685	ljew	lieu
686	khjew	khieu
687	haew	ghrau
688	kaew	krau
689	dzraew	zrau
690	nraew	nrau
691	sraew	srau
692	maew	mrau
693	xaew	hrau
694	paew	prau
695	phaew	phrau
696	khaew	khrau
697	ngaew	ngrau
698	tsraew	crau
699	traew	trau
700	tsrhaew	chrau
701	baew	brau
702	'aew	qrau
703	trhaew	thrau
704	laew	lrau
705	draew	drau
706	haw	ghau
707	kaw	kau
708	law	lau
709	xaw	hau
710	maw	mau
711	thaw	thau
712	taw	tau
713	saw	sau
714	baw	bau
715	paw	pau
716	daw	dau
717	tsaw	cau
718	ngaw	ngau
719	dzaw	zau
720	'aw	qau
721	naw	nau
722	khaw	khau
723	tshaw	chau
724	phaw	phau
725	ka	ka
726	tsha	cha
727	ta	ta
728	sa	sa
729	da	da
730	dza	za
731	nga	nga
732	tha	tha
733	la	la
734	na	na
735	ha	gha
736	xa	ha
737	kha	kha
738	'a	qa
739	kwa	kua
740	tshwa	chua
741	twa	tua
742	swa	sua
743	ba	bua
744	dwa	dua
745	ma	mua
746	dzwa	zua
747	ngwa	ngua
748	thwa	thua
749	lwa	lua
750	nwa	nua
751	pa	pua
752	pha	phua
753	hwa	ghua
754	khwa	khua
755	'wa	qua
756	xjwa	hya
757	'jwa	qya
758	khjwa	khya
759	gja	gia
760	khja	khia
761	kja	kia
762	tshjwa	chya
763	tsjwa	cya
764	gjwa	gya
765	ljwa	lya
766	mae	mra
767	tsyhae	chja
768	syae	sja
769	yae	ja
770	tsyae	cja
771	tsjae	cia
772	zyae	zsja
773	hwae	ghrua
774	kwae	krua
775	xwae	hrua
776	khwae	khrua
777	nrae	nra
778	kae	kra
779	hae	ghra
780	phae	phra
781	'ae	qra
782	pae	pra
783	tsrhae	chra
784	srae	sra
785	ngae	ngra
786	tsrae	cra
787	drae	dra
788	zjae	zsia
789	dzyae	zja
790	'wae	qrua
791	tsrwae	crua
792	trwae	trua
793	bae	bra
794	dzrae	zra
795	trhae	thra
796	trae	tra
797	xae	hra
798	khae	khra
799	dzjae	zia
800	nyae	nja
801	sjae	sia
802	trjae	tria
803	ngwae	ngrua
804	khae	khra
805	yang	jang
806	zjang	zsiang
807	ljang	liang
808	xjang	hiang
809	syang	sjang
810	bjang	byang
811	tsyang	cjang
812	tsyhang	chjang
813	khjang	khiang
814	kjang	kiang
815	drjang	driang
816	trjang	triang
817	nyang	njang
818	pjang	pyang
819	sjang	siang
820	tsjang	ciang
821	tsrhjang	chriang
822	mjang	myang
823	nrjang	nriang
824	dzrjang	zriang
825	tsrjang	criang
826	dzyang	zjang
827	srjang	sriang
828	dzjang	ziang
829	tshjang	chiang
830	khjwang	khyang
831	hjwang	yang
832	'jang	qiang
833	gjang	giang
834	trhjang	thriang
835	phjang	phyang
836	gjwang	gyang
837	dang	dang
838	lang	lang
839	tang	tang
840	tshang	chang
841	kang	kang
842	sang	sang
843	khang	khang
844	xwang	huang
845	hwang	ghuang
846	kwang	kuang
847	thang	thang
848	phang	phang
849	'wang	quang
850	'ang	qang
851	xang	hang
852	hang	ghang
853	mang	mang
854	tsang	cang
855	nang	nang
856	bang	bang
857	ngang	ngang
858	dzang	zang
859	khwang	khuang
860	pang	pang
861	kaeng	krang
862	khaeng	khrang
863	maeng	mrang
864	hwaeng	ghruang
865	paeng	prang
866	xwaeng	hruang
867	kwaeng	kruang
868	baeng	brang
869	xaeng	hrang
870	trhaeng	thrang
871	tsrhaeng	chrang
872	dzraeng	zrang
873	'jaeng	qieng
874	phjaeng	phieng
875	bjaeng	bieng
876	kjaeng	kieng
877	mjaeng	mieng
878	draeng	drang
879	traeng	trang
880	hjwaeng	yeng
881	pjaeng	pieng
882	xjwaeng	hyeng
883	khjaeng	khieng
884	sraeng	srang
885	gjaeng	gieng
886	ngjaeng	ngieng
887	haeng	ghrang
888	nraeng	nrang
889	keang	kreng
890	kheang	khreng
891	meang	mreng
892	peang	preng
893	hweang	ghrueng
894	heang	ghreng
895	treang	treng
896	'eang	qreng
897	dzreang	zreng
898	tsrheang	chreng
899	nreang	nreng
900	pheang	phreng
901	xweang	hrueng
902	peang	preng
903	dreang	dreng
904	'weang	qrueng
905	beang	breng
906	ngeang	ngreng
907	tsreang	creng
908	tshjeng	chieng
909	dzjeng	zieng
910	tsjeng	cieng
911	yeng	jeng
912	yweng	jyeng
913	'jieng	qjeng
914	trjeng	trieng
915	trhjeng	thrieng
916	dzyeng	zjeng
917	drjeng	drieng
918	syeng	sjeng
919	tsyeng	cjeng
920	khjieng	khjeng
921	mjieng	mjeng
922	ljeng	lieng
923	pjieng	pjeng
924	khjwieng	khjyeng
925	zjeng	zsieng
926	'jwieng	qjyeng
927	gjwieng	gjyeng
928	sjweng	syeng
929	gjieng	gjeng
930	xjwieng	hjyeng
931	tsheng	cheng
932	keng	keng
933	heng	gheng
934	deng	deng
935	teng	teng
936	xeng	heng
937	seng	seng
938	pheng	pheng
939	leng	leng
940	neng	neng
941	theng	theng
942	meng	meng
943	beng	beng
944	hweng	ghueng
945	kweng	kueng
946	tsying	cjing
947	dzying	zjing
948	dring	dring
949	ling	ling
950	'ing	qing
951	bing	bing
952	ping	ping
953	ying	jing
954	zying	zsjing
955	sying	sjing
956	nying	njing
957	king	king
958	tring	tring
959	dzing	zing
960	nging	nging
961	xing	hing
962	tsyhing	chjing
963	ging	ging
964	sring	sring
965	khing	khing
966	trhing	thring
967	dzring	zring
968	phing	phing
969	tong	tong
970	long	long
971	song	song
972	pong	pong
973	tsong	cong
974	mong	mong
975	dzong	zong
976	bong	bong
977	hwong	ghuong
978	kwong	kuong
979	xwong	huong
980	nong	nong
981	dong	dong
982	hong	ghong
983	kong	kong
984	thong	thong
985	phong	phong
986	hjuw	iu
987	'juw	qiu
988	ljuw	liu
989	tshjuw	chiu
990	yuw	ju
991	ngjuw	ngiu
992	tsjuw	ciu
993	dzjuw	ziu
994	sjuw	siu
995	trhjuw	thriu
996	khjuw	khiu
997	tsyhuw	chju
998	tsyuw	cju
999	dzyuw	zju
1000	nyuw	nju
1001	syuw	sju
1002	khjuw	khiu
1003	phjuw	phiu
1004	kjuw	kiu
1005	pjuw	piu
1006	srjuw	sriu
1007	tsrhjuw	chriu
1008	tsrjuw	criu
1009	dzrjuw	zriu
1010	xjuw	hiu
1011	zjuw	zsiu
1012	drjuw	driu
1013	trjuw	triu
1014	gjuw	giu
1015	bjuw	biu
1016	mjuw	miu
1017	huw	ghu
1018	'uw	qu
1019	nuw	nu
1020	luw	lu
1021	suw	su
1022	khuw	khu
1023	xuw	hu
1024	tsuw	cu
1025	thuw	thu
1026	duw	du
1027	nguw	ngu
1028	kuw	ku
1029	tuw	tu
1030	dzuw	zu
1031	buw	bu
1032	tshuw	chu
1033	muw	mu
1034	'jiw	qy
1035	gjiw	gy
1036	pjiw	py
1037	ljiw	ly
1038	kjiw	ky
1039	bjiw	by
1040	tsjiw	cy
1041	srjiw	sry
1042	ngjiw	ngy
1043	xjiw	hy
1044	mjiw	my
1045	tshim	chim
1046	zim	zsim
1047	lim	lim
1048	trhim	thrim
1049	tsyim	cjim
1050	drim	drim
1051	trim	trim
1052	dzyim	zjim
1053	nyim	njim
1054	syim	sjim
1055	yim	jim
1056	sim	sim
1057	'jim	qjim
1058	tsim	cim
1059	dzim	zim
1060	nrim	nrim
1061	gim	gim
1062	khim	khim
1063	ngim	ngim
1064	xim	him
1065	kim	kim
1066	'im	qim
1067	srim	srim
1068	dzrim	zrim
1069	tsrim	crim
1070	tsrhim	chrim
1071	tsyhim	chjim
1072	dom	dom
1073	tshom	chom
1074	nom	nom
1075	'om	qom
1076	hom	ghom
1077	lom	lom
1078	dzom	zom
