Index	Baxter	polyhedron
2910	tsrhjangH	chriangh
2911	tsjangH	ciangh
2912	ngjangH	ngiangh
2913	phjangH	phyangh
2914	mjangH	myangh
2915	xjwangH	hyangh
2916	kjwangH	kyangh
2917	hjwangH	yangh
2918	pjangH	pyangh
2919	sjangH	siangh
2920	kjangH	kiangh
2921	khjangH	khiangh
2922	tshjangH	chiangh
2923	gjwangH	gyangh
2924	bjangH	byangh
2925	dangH	dangh
2926	langH	langh
2927	hangH	ghangh
2928	'angH	qangh
2929	ngangH	ngangh
2930	tsangH	cangh
2931	bangH	bangh
2932	dzangH	zangh
2933	tangH	tangh
2934	khangH	khangh
2935	pangH	pangh
2936	thangH	thangh
2937	khwangH	khuangh
2938	nangH	nangh
2939	sangH	sangh
2940	hwangH	ghuangh
2941	kwangH	kuangh
2942	kangH	kangh
2943	xwangH	huangh
2944	mangH	mangh
2945	'wangH	quangh
2946	'jaengH	qiengh
2947	kjaengH	kiengh
2948	gjaengH	giengh
2949	khjaengH	khiengh
2950	kaengH	krangh
2951	mjaengH	miengh
2952	bjaengH	biengh
2953	maengH	mrangh
2954	hwaengH	ghruangh
2955	pjaengH	piengh
2956	hjwaengH	yengh
2957	haengH	ghrangh
2958	'aengH	qrangh
2959	tsrhaengH	chrangh
2960	traengH	trangh
2961	trhaengH	thrangh
2962	paengH	prangh
2963	draengH	drangh
2964	sraengH	srangh
2965	ngjaengH	ngiengh
2966	baengH	brangh
2967	xaengH	hrangh
2968	'waengH	qruangh
2969	tsreangH	crengh
2970	peangH	prengh
2971	beangH	brengh
2972	'eangH	qrengh
2973	ngeangH	ngrengh
2974	xweangH	hruengh
2975	kjiengH	kjengh
2976	tshjengH	chiengh
2977	tsyengH	cjengh
2978	syengH	sjengh
2979	drjengH	driengh
2980	trhjengH	thriengh
2981	sjengH	siengh
2982	ljengH	liengh
2983	phjiengH	phjengh
2984	xjwiengH	hjyengh
2985	pjiengH	pjengh
2986	bjiengH	bjengh
2987	dzjengH	ziengh
2988	dzyengH	zjengh
2989	mjiengH	mjengh
2990	khjiengH	khjengh
2991	xjiengH	hjengh
2992	tsjengH	ciengh
2993	kengH	kengh
2994	nengH	nengh
2995	sengH	sengh
2996	hengH	ghengh
2997	dengH	dengh
2998	tengH	tengh
2999	khengH	khengh
3000	thengH	thengh
3001	tshengH	chengh
3002	mengH	mengh
3003	'engH	qengh
3004	lengH	lengh
3005	tsyingH	cjingh
3006	yingH	jingh
3007	zyingH	zsjingh
3008	nyingH	njingh
3009	'ingH	qingh
3010	tsingH	cingh
3011	xingH	hingh
3012	syingH	sjingh
3013	dringH	dringh
3014	lingH	lingh
3015	bingH	bingh
3016	tsyhingH	chjingh
3017	ngingH	ngingh
3018	dzyingH	zjingh
3019	trhingH	thringh
3020	gingH	gingh
3021	tongH	tongh
3022	dzongH	zongh
3023	kongH	kongh
3024	tshongH	chongh
3025	dongH	dongh
3026	mongH	mongh
3027	pongH	pongh
3028	bongH	bongh
3029	longH	longh
3030	tsongH	congh
3031	songH	songh
3032	thongH	thongh
3033	hjuwH	iuh
3034	kjuwH	kiuh
3035	drjuwH	driuh
3036	trjuwH	triuh
3037	syuwH	sjuh
3038	tsyhuwH	chjuh
3039	zjuwH	zsiuh
3040	xjuwH	hiuh
3041	tsyuwH	cjuh
3042	gjuwH	giuh
3043	srjuwH	sriuh
3044	tsrjuwH	criuh
3045	phjuwH	phiuh
3046	tsrhjuwH	chriuh
3047	pjuwH	piuh
3048	trhjuwH	thriuh
3049	ljuwH	liuh
3050	sjuwH	siuh
3051	tsjuwH	ciuh
3052	dzrjuwH	zriuh
3053	dzjuwH	ziuh
3054	nrjuwH	nriuh
3055	bjuwH	biuh
3056	yuwH	juh
3057	dzyuwH	zjuh
3058	nyuwH	njuh
3059	mjuwH	miuh
3060	ngjuwH	ngiuh
3061	khjuwH	khiuh
3062	tshjuwH	chiuh
3063	huwH	ghuh
3064	khuwH	khuh
3065	muwH	muh
3066	phuwH	phuh
3067	duwH	duh
3068	tuwH	tuh
3069	nuwH	nuh
3070	suwH	suh
3071	tsuwH	cuh
3072	thuwH	thuh
3073	'uwH	quh
3074	kuwH	kuh
3075	tshuwH	chuh
3076	luwH	luh
3077	xuwH	huh
3078	buwH	buh
3079	nguwH	nguh
3080	dzuwH	zuh
3081	'jiwH	qyh
3082	mjiwH	myh
3083	khjiwH	khyh
3084	gjiwH	gyh
3085	tshimH	chimh
3086	tsimH	cimh
3087	nyimH	njimh
3088	drimH	drimh
3089	tsyimH	cjimh
3090	gimH	gimh
3091	kimH	kimh
3092	nrimH	nrimh
3093	'imH	qimh
3094	srimH	srimh
3095	trhimH	thrimh
3096	tsrimH	crimh
3097	tsrhimH	chrimh
3098	ngimH	ngimh
3099	trimH	trimh
3100	limH	limh
3101	dzyimH	zjimh
3102	himH	imh
3103	syimH	sjimh
3104	khomH	khomh
3105	komH	komh
3106	homH	ghomh
3107	'omH	qomh
3108	thomH	thomh
3109	somH	somh
3110	tshomH	chomh
3111	domH	domh
3112	ngomH	ngomh
3113	tomH	tomh
3114	nomH	nomh
3115	lomH	lomh
3116	xomH	homh
3117	tsomH	comh
3118	khamH	khamh
3119	lamH	lamh
3120	thamH	thamh
3121	kamH	kamh
3122	xamH	hamh
3123	hamH	ghamh
3124	damH	damh
3125	dzamH	zamh
3126	tamH	tamh
3127	samH	samh
3128	yemH	jemh
3129	dzyemH	zjemh
3130	nyemH	njemh
3131	'jiemH	qjemh
3132	pjemH	piemh
3133	ngjemH	ngiemh
3134	syemH	sjemh
3135	tsjemH	ciemh
3136	tshjemH	chiemh
3137	ljemH	liemh
3138	trhjemH	thriemh
3139	tsyhemH	chjemh
3140	'jemH	qiemh
3141	dzjemH	ziemh
3142	tsyemH	cjemh
3143	themH	themh
3144	nemH	nemh
3145	temH	temh
3146	semH	semh
3147	demH	demh
3148	kemH	kemh
3149	'emH	qemh
3150	tsemH	cemh
3151	dzemH	zemh
3152	kemH	kemh
3153	khemH	khemh
3154	lemH	lemh
3155	ngjaemH	ngiamh
3156	xjaemH	hiamh
3157	khjaemH	khiamh
3158	mjomH	myamh
3159	heamH	ghremh
3160	'eamH	qremh
3161	tsreamH	cremh
3162	treamH	tremh
3163	kheamH	khremh
3164	dreamH	dremh
3165	dzreamH	zremh
3166	keamH	kremh
3167	nreamH	nremh
3168	ngeamH	ngremh
3169	kaemH	kramh
3170	tsrhaemH	chramh
3171	tsraemH	cramh
3172	sraemH	sramh
3173	xaemH	hramh
3174	baemH	bramh
3175	haemH	ghramh
3176	dzraemH	zramh
3177	'aemH	qramh
3178	bjomH	byamh
3179	phjomH	phyamh
3180	kjaemH	kiamh
3181	khjaemH	khiamh
3182	'jaemH	qiamh
3183	'uwk	quk
3184	duwk	duk
3185	kuwk	kuk
3186	huwk	ghuk
3187	khuwk	khuk
3188	thuwk	thuk
3189	tuwk	tuk
3190	suwk	suk
3191	luwk	luk
3192	xuwk	huk
3193	dzuwk	zuk
3194	tshuwk	chuk
3195	tsuwk	cuk
3196	buwk	buk
3197	phuwk	phuk
3198	puwk	puk
3199	muwk	muk
3200	pjuwk	piuk
3201	bjuwk	biuk
3202	srjuwk	sriuk
3203	ljuwk	liuk
3204	drjuwk	driuk
3205	kjuwk	kiuk
3206	khjuwk	khiuk
3207	dzyuwk	zjuk
3208	tsyhuwk	chjuk
3209	yuwk	juk
3210	gjuwk	giuk
3211	tshjuwk	chiuk
3212	nyuwk	njuk
3213	tsyuwk	cjuk
3214	syuwk	sjuk
3215	xjuwk	hiuk
3216	trjuwk	triuk
3217	tsjuwk	ciuk
3218	tsrhjuwk	chriuk
3219	nrjuwk	nriuk
3220	tsrjuwk	criuk
3221	phjuwk	phiuk
3222	'juwk	qiuk
3223	sjuwk	siuk
3224	mjuwk	miuk
3225	hjuwk	iuk
3226	trhjuwk	thriuk
3227	ngjuwk	ngiuk
3228	dzjuwk	ziuk
3229	'owk	quuk
3230	dowk	duuk
3231	towk	tuuk
3232	khowk	khuuk
3233	howk	ghuuk
3234	bowk	buuk
3235	sowk	suuk
3236	kowk	kuuk
3237	mowk	muuk
3238	xowk	huuk
3239	nowk	nuuk
3240	tsowk	cuuk
3241	powk	puuk
3242	lowk	luuk
3243	ngowk	nguuk
3244	tsyowk	cjyuk
3245	ngjowk	ngyuk
3246	xjowk	hyuk
3247	kjowk	kyuk
3248	gjowk	gyuk
3249	dzyowk	zjyuk
3250	tsyhowk	chjyuk
3251	nyowk	njyuk
3252	syowk	sjyuk
3253	yowk	jyuk
3254	drjowk	dryuk
3255	ljowk	lyuk
3256	khjowk	khyuk
3257	trjowk	tryuk
3258	tsjowk	cyuk
3259	zyowk	zsjyuk
3260	bjowk	byuk
3261	tshjowk	chyuk
3262	zjowk	zsyuk
3263	sjowk	syuk
3264	pjowk	pyuk
3265	trhjowk	thryuk
3266	kaewk	kruk
3267	ngaewk	ngruk
3268	dzraewk	zruk
3269	tsraewk	cruk
3270	sraewk	sruk
3271	traewk	truk
3272	paewk	pruk
3273	maewk	mruk
3274	baewk	bruk
3275	phaewk	phruk
3276	khaewk	khruk
3277	draewk	druk
3278	'aewk	qruk
3279	nraewk	nruk
3280	trhaewk	thruk
3281	laewk	lruk
3282	haewk	ghruk
3283	xaewk	hruk
3284	tsrhaewk	chruk
3285	tsyit	cjit
3286	nyit	njit
3287	zyit	zsjit
3288	drit	drit
3289	sit	sit
3290	'jit	qjit
3291	tshit	chit
3292	phjit	phjit
3293	kjit	kjit
3294	nrit	nrit
3295	yit	jit
3296	khjit	khjit
3297	xjit	hjit
3298	trhit	thrit
3299	lit	lit
3300	trit	trit
3301	dzit	zit
3302	tsrhit	chrit
3303	syit	sjit
3304	tsit	cit
3305	mjit	mjit
3306	pjit	pjit
3307	git	git
3308	bjit	bjit
3309	hwit	yt
3310	srwit	sryt
3311	tsyhit	chjit
3312	dzrit	zrit
3313	mit	mit
3314	bit	bit
3315	'it	qit
3316	ngit	ngit
3317	pit	pit
3318	trwit	trjyt
3319	xit	hit
3320	kit	kit
3321	trit	trit
3322	xjwit	hjyt
3323	zywit	zsjyt
3324	kjwit	kjyt
3325	dzwit	zyt
3326	ywit	jyt
3327	tswit	cyt
3328	swit	syt
3329	lwit	lyt
3330	trhwit	thryt
3331	trwit	tryt
3332	drwit	dryt
3333	tsyhwit	chjyt
3334	tshwit	chyt
3335	tsrwit	cryt
3336	xwit	hyt
3337	tsrit	crit
3338	srit	srit
3339	dzrit	zrit
3340	mjut	myot
3341	pjut	pyot
3342	'jut	qyot
3343	kjut	kyot
3344	khjut	khyot
3345	gjut	gyot
3346	bjut	byot
3347	xjut	hyot
3348	hjut	yot
3349	phjut	phyot
3350	ngjut	ngyot
3351	xj+t	hiot
3352	kj+t	kiot
3353	ngj+t	ngiot
3354	gj+t	giot
3355	khj+t	khiot
3356	ngjwot	ngyat
3357	bjot	byat
3358	hjwot	yat
3359	kjwot	kyat
3360	'jwot	qyat
3361	gjwot	gyat
3362	khjwot	khyat
3363	pjot	pyat
3364	mjot	myat
3365	xjwot	hyat
3366	'jot	qiat
3367	xjot	hiat
3368	kjot	kiat
3369	gjot	giat
3370	phjot	phyat
3371	ngjot	ngiat
3372	mwot	muot
3373	thwot	thuot
3374	kwot	kuot
3375	bwot	buot
3376	twot	tuot
3377	thwot	thuot
3378	dwot	duot
3379	'wot	quot
3380	xwot	huot
3381	ngwot	nguot
3382	phwot	phuot
3383	lwot	luot
3384	khwot	khuot
3385	nwot	nuot
3386	swot	suot
3387	tshwot	chuot
3388	dzwot	zuot
3389	hot	ghot
3390	hwot	ghuot
3391	tswot	cuot
3392	hat	ghat
3393	xat	hat
3394	tat	tat
3395	that	that
3396	'at	qat
3397	lat	lat
3398	khat	khat
3399	dat	dat
3400	dzat	zat
3401	ngat	ngat
3402	kat	kat
3403	sat	sat
3404	tshat	chat
3405	nat	nat
3406	mat	mat
3407	mat	muat
3408	ngwat	nguat
3409	dzwat	zuat
3410	pat	puat
3411	tsat	cat
3412	kwat	kuat
3413	khwat	khuat
3414	hwat	ghuat
3415	dwat	duat
3416	xwat	huat
3417	'wat	quat
3418	tswat	cuat
3419	phat	phuat
3420	thwat	thuat
3421	lwat	luat
3422	twat	tuat
3423	tshwat	chuat
3424	bat	buat
3425	heat	ghret
3426	tsreat	cret
3427	beat	bret
3428	kheat	khret
3429	hweat	ghruet
3430	peat	pret
3431	trweat	truet
3432	'weat	qruet
3433	nrweat	nruet
3434	tsrheat	chret
3435	kweat	kruet
3436	keat	kret
3437	'eat	qret
3438	sreat	sret
3439	meat	mret
3440	xweat	hruet
3441	nreat	nret
3442	ngweat	ngruet
3443	khweat	khruet
3444	pheat	phret
3445	tsrweat	cruet
3446	haet	ghrat
3447	'aet	qrat
3448	ngaet	ngrat
3449	tsrhaet	chrat
3450	khaet	khrat
3451	xaet	hrat
3452	trhaet	thrat
3453	kwaet	kruat
3454	hwaet	ghruat
3455	trhwaet	thruat
3456	trwaet	truat
3457	srwaet	sruat
3458	ngwaet	ngruat
3459	tsrhwaet	chruat
3460	maet	mrat
3461	nrwaet	nruat
3462	paet	prat
3463	kaet	krat
3464	dzraet	zrat
3465	traet	trat
3466	nyaet	njrat
3467	set	set
3468	tshet	chet
3469	ket	ket
3470	tset	cet
3471	xwet	huet
3472	khwet	khuet
3473	kwet	kuet
3474	hwet	ghuet
3475	'wet	quet
3476	det	det
3477	thet	thet
3478	het	ghet
3479	net	net
3480	dzet	zet
3481	nget	nget
3482	met	met
3483	pet	pet
3484	'et	qet
3485	khet	khet
3486	xet	het
3487	phet	phet
3488	bet	bet
3489	tet	tet
3490	let	let
3491	sjet	siet
3492	ljet	liet
3493	trjet	triet
3494	gjet	giet
3495	nyet	njet
3496	tsyet	cjet
3497	zyet	zsjet
3498	dzyet	zjet
3499	ngjet	ngiet
3500	mjiet	mjet
3501	khjet	khiet
3502	pjiet	pjet
3503	dzjwet	zyet
3504	tsjwet	cyet
3505	sjwet	syet
3506	trhjwet	thryet
3507	ywet	jyet
3508	khjwiet	khjyet
3509	'jwet	qyet
3510	nywet	njyet
3511	sywet	sjyet
3512	tsywet	cjyet
3513	tsyhwet	chjyet
3514	trjwet	tryet
3515	ljwet	lyet
3516	phjiet	phjet
3517	bjet	biet
3518	drjet	driet
3519	pjet	piet
3520	srjwet	sryet
3521	kjet	kiet
3522	syet	sjet
3523	nrjwet	nryet
3524	xjwet	hyet
3525	'jwiet	qjyet
3526	kjwet	kyet
3527	tsrjwet	cryet
3528	tshjwet	chyet
3529	tsjet	ciet
3530	srjet	sriet
3531	'jet	qiet
3532	trhjet	thriet
3533	xjet	hiet
3534	tsyhwet	chjyet
3535	tsrhjet	chriet
3536	zjwet	zsyet
3537	tsyhet	chjet
3538	yet	jet
3539	dzrjet	zriet
3540	yak	jak
3541	ljak	liak
3542	kjak	kiak
3543	tsyak	cjak
3544	syak	sjak
3545	nyak	njak
3546	tsyhak	chjak
3547	'jak	qiak
3548	khjak	khiak
3549	ngjak	ngiak
3550	dzyak	zjak
3551	trhjak	thriak
3552	sjak	siak
3553	tsrjak	criak
3554	tsjak	ciak
3555	dzjak	ziak
3556	tshjak	chiak
3557	gjak	giak
3558	'jwak	qyak
3559	bjak	byak
3560	xjwak	hyak
3561	hjwak	yak
3562	kjwak	kyak
3563	trjak	triak
3564	drjak	driak
3565	khjwak	khyak
3566	gjwak	gyak
3567	nrjak	nriak
3568	phjak	phyak
3569	xjak	hiak
3570	dak	dak
3571	mak	mak
3572	lak	lak
3573	thak	thak
3574	tsak	cak
3575	tshak	chak
3576	kak	kak
3577	khak	khak
3578	ngak	ngak
3579	phak	phak
3580	'ak	qak
3581	bak	bak
3582	xak	hak
3583	sak	sak
3584	hak	ghak
3585	dzak	zak
3586	pak	pak
3587	nak	nak
3588	xwak	huak
3589	kwak	kuak
3590	'wak	quak
3591	hwak	ghuak
3592	khwak	khuak
3593	ngwak	nguak
3594	lwak	luak
3595	tswak	cuak
3596	maek	mrak
3597	traek	trak
3598	baek	brak
3599	paek	prak
3600	gjaek	giek
3601	kjaek	kiek
3602	srjaek	sriek
3603	tsrhjaek	chriek
3604	hwaek	ghruak
3605	tsraek	crak
3606	dzraek	zrak
3607	khjaek	khiek
3608	ngaek	ngrak
3609	ngjaek	ngiek
3610	khaek	khrak
3611	'aek	qrak
3612	xjaek	hiek
3613	trhaek	thrak
3614	'waek	qruak
3615	phaek	phrak
3616	xaek	hrak
3617	haek	ghrak
3618	kaek	krak
3619	xwaek	hruak
3620	draek	drak
3621	kwaek	kruak
3622	'jwaek	qyek
3623	nraek	nrak
3624	khwaek	khruak
3625	bjaek	biek
3626	meak	mrek
3627	hweak	ghruek
3628	kweak	kruek
3629	peak	prek
3630	beak	brek
3631	dzreak	zrek
3632	tsreak	crek
3633	dzrweak	zruek
3634	tsrheak	chrek
3635	kheak	khrek
3636	xweak	hruek
3637	heak	ghrek
3638	keak	krek
3639	treak	trek
3640	'eak	qrek
3641	sreak	srek
3642	pheak	phrek
3643	ngeak	ngrek
3644	leak	lrek
3645	tsrweak	cruek
3646	srweak	sruek
3647	gweak	gruek
3648	nreak	nrek
3649	sjek	siek
3650	tsjek	ciek
3651	'jiek	qjek
3652	yek	jek
3653	syek	sjek
3654	tsyhek	chjek
3655	dzyek	zjek
3656	tsyek	cjek
3657	drjek	driek
3658	tshjek	chiek
3659	zjek	zsiek
3660	dzjek	ziek
3661	bjiek	bjek
3662	ywek	jyek
3663	xjwiek	hjyek
3664	pjiek	pjek
3665	phjiek	phjek
3666	zyek	zsjek
3667	pjaek	piek
3668	trjek	triek
3669	trhjek	thriek
3670	tsywek	cjyek
3671	tshjwek	chyek
3672	sek	sek
3673	kek	kek
3674	phek	phek
3675	lek	lek
3676	tek	tek
3677	hek	ghek
3678	ngek	ngek
3679	dek	dek
3680	thek	thek
3681	tsek	cek
3682	khek	khek
3683	nek	nek
3684	dzek	zek
3685	mek	mek
3686	bek	bek
3687	pek	pek
3688	khwek	khuek
3689	kwek	kuek
3690	tshek	chek
3691	xek	hek
3692	xwek	huek
3693	trhek	threk
3694	tsyik	cjik
3695	drik	drik
3696	lik	lik
3697	trhik	thrik
3698	trik	trik
3699	zyik	zsjik
3700	sik	sik
3701	dzyik	zjik
3702	syik	sjik
3703	xik	hik
3704	dzrik	zrik
3705	gik	gik
3706	nrik	nrik
3707	tsrhik	chrik
3708	'ik	qik
3709	srik	srik
3710	khik	khik
3711	kik	kik
3712	yik	jik
3713	tsik	cik
3714	pik	pik
3715	hwik	yk
3716	xwik	hyk
3717	phik	phik
3718	tsrik	crik
3719	bik	bik
3720	ngik	ngik
3721	dzik	zik
3722	trik	trik
3723	mik	mik
3724	tsyhik	chjik
3725	tok	tok
3726	tsok	cok
3727	lok	lok
3728	thok	thok
3729	khok	khok
3730	dok	dok
3731	xok	hok
3732	mok	mok
3733	dzok	zok
3734	sok	sok
3735	pok	pok
3736	bok	bok
3737	hwok	ghuok
3738	kwok	kuok
3739	'ok	qok
3740	hok	ghok
3741	nok	nok
3742	kok	kok
3743	tshok	chok
3744	phok	phok
3745	xwok	huok
3746	tship	chip
3747	dzyip	zjip
3748	tsyip	cjip
3749	zip	zsip
3750	dzip	zip
3751	nyip	njip
3752	'jip	qjip
3753	syip	sjip
3754	tsip	cip
3755	gip	gip
3756	drip	drip
3757	trip	trip
3758	lip	lip
3759	kip	kip
3760	ngip	ngip
3761	khip	khip
3762	sip	sip
3763	srip	srip
3764	xip	hip
3765	tsrip	crip
3766	'ip	qip
3767	trhip	thrip
3768	hip	ip
3769	yip	jip
3770	nrip	nrip
3771	dzrip	zrip
3772	bip	bip
3773	pip	pip
3774	tsrhip	chrip
3775	tsyhip	chjip
3776	hop	ghop
3777	kop	kop
3778	top	top
3779	sop	sop
3780	dop	dop
3781	thop	thop
3782	dzop	zop
3783	tsop	cop
3784	lop	lop
3785	nop	nop
3786	khop	khop
3787	'op	qop
3788	xop	hop
3789	ngop	ngop
3790	tshop	chop
3791	dzyop	zjop
3792	'op	qop
3793	hap	ghap
3794	lap	lap
3795	tap	tap
3796	thap	thap
3797	xap	hap
3798	nap	nap
3799	dap	dap
3800	sap	sap
3801	ngap	ngap
3802	dzap	zap
3803	kap	kap
3804	khap	khap
3805	'ap	qap
3806	tshap	chap
3807	kap	kap
3808	tsyap	cjap
3809	yep	jep
3810	tsjep	ciep
3811	syep	sjep
3812	dzyep	zjep
3813	ljep	liep
3814	dzjep	ziep
3815	drjep	driep
3816	'jep	qiep
3817	nrjep	nriep
3818	tsyhep	chjep
3819	nyep	njep
3820	tsyep	cjep
3821	tshjep	chiep
3822	trhjep	thriep
3823	gjep	giep
3824	trjep	triep
3825	hjep	iep
3826	khjiep	khjep
3827	srjep	sriep
3828	kjep	kiep
3829	'jiep	qjep
3830	thep	thep
3831	hep	ghep
3832	kep	kep
3833	khep	khep
3834	dep	dep
3835	nep	nep
3836	sep	sep
3837	lep	lep
3838	tep	tep
3839	dzep	zep
3840	tsep	cep
3841	xep	hep
3842	sep	sep
3843	heap	ghrep
3844	kheap	khrep
3845	dzreap	zrep
3846	keap	krep
3847	tsreap	crep
3848	tsrheap	chrep
3849	nreap	nrep
3850	xeap	hrep
3851	sreap	srep
3852	treap	trep
3853	'eap	qrep
3854	ngeap	ngrep
3855	trheap	threp
3856	haep	ghrap
3857	draep	drap
3858	'aep	qrap
3859	kaep	krap
3860	sraep	srap
3861	xaep	hrap
3862	ngjaep	ngiap
3863	xjaep	hiap
3864	khjaep	khiap
3865	kjaep	kiap
3866	'jaep	qiap
3867	yaep	jap
3868	gjaep	giap
3869	bjop	byap
3870	pjop	pyap
3871	phjop	phyap
3872	khjop	khyap
3873	nrjop	nryap
3874	trhjop	thryap
